Latitude,Longitude,Region
-76.51,169.0,5.0
-76.5,-177.9,5.0
-76.5,178.0,5.0
-76.47,176.0,5.0
-76.5,174.0,5.0
-76.49,172.0,5.0
-76.5,169.9,5.0
-76.5,169.3,5.0
-76.5,169.0,5.0
-76.5,169.0,5.0
-76.52,169.0,5.0
-76.5,170.0,5.0
-76.5,170.0,5.0
-76.5,171.9,5.0
-76.5,174.0,5.0
-76.5,174.0,5.0
-76.5,176.0,5.0
-76.5,176.0,5.0
-76.5,178.0,5.0
-76.5,178.0,5.0
-76.49,-178.0,5.0
-76.49,-178.0,5.0
-78.04,-176.0,0.0
-78.04,-176.0,0.0
-78.03,-176.0,0.0
-78.03,-176.0,0.0
-76.5,176.0,5.0
-76.5,176.0,5.0
-74.0,177.0,5.0
-74.0,177.0,5.0
-74.33,-176.0,5.0
-74.33,-176.0,5.0
-76.53,168.9,5.0
-76.53,168.9,5.0
-76.49,170.0,5.0
-76.49,170.0,5.0
-76.5,172.0,5.0
-76.5,172.0,5.0
-76.5,174.0,5.0
-76.5,174.0,5.0
-76.43,176.2,5.0
-76.43,176.2,5.0
-76.5,178.0,5.0
-76.5,178.0,5.0
-76.47,-178.0,5.0
-76.47,-178.0,5.0
-78.0,-176.0,0.0
-78.0,-176.0,0.0
-77.4,176.0,5.0
-77.4,176.0,5.0
-76.5,176.0,5.0
-76.5,176.0,5.0
-76.12,163.4,0.0
-76.12,163.4,0.0
-76.49,169.0,5.0
-76.49,169.0,5.0
-73.96,175.8,5.0
-73.96,175.8,5.0
-76.47,169.1,5.0
-76.47,169.1,5.0
-77.91,-176.1,0.0
-77.91,-176.1,0.0
-76.47,-178.0,5.0
-76.47,-178.0,5.0
-76.5,178.0,5.0
-76.49,175.9,5.0
-76.51,174.1,5.0
-76.51,174.1,5.0
-76.52,172.0,5.0
-76.51,170.0,5.0
-76.48,168.9,5.0
-76.48,168.9,5.0
-74.01,176.1,5.0
-74.01,176.1,5.0
-73.52,176.9,5.0
-73.52,176.9,5.0
-73.51,176.9,5.0
-76.51,-178.0,5.0
